,name,platform,original_price(€),discounted_price(€),discount(%),release_date,users_rating,category,extraction_date
54,The Crew 2 (Europe),Uplay,60,15.33,74,29 junio 2018,75 /100,GAME,10 abril 2019
55,Overwatch Legendary Edition,Battle.net,40,25.55,36,24 julio 2018,90 /100,GAME,10 abril 2019
56,Civilization VI (Europe),Steam,60,9.88,84,21 octubre 2016,86 /100,GAME,10 abril 2019
57,Xbox Game Pass 1 Month Trial Xbox ONE (Only New Accounts),Xbox,10,1.99,80,N/A,99 /100,GAME,10 abril 2019
58,Euro Truck Simulator 2: Italia,Steam,18,6.55,64, 5 diciembre 2017,95 /100,DLC,10 abril 2019
59,Anthem,Origin,60,31.49,48,22 febrero 2019,64 /100,GAME,10 abril 2019
60,Euro Truck Simulator 2: Scandinavia,Steam,18,5.11,72, 6 mayo 2015,94 /100,DLC,10 abril 2019
61,Fortnite Bomber Skin + 500 V-bucks PS4 (Europe),Playstation,80,13.99,83,25 julio 2017,72 /100,GAME,10 abril 2019
62,Far Cry New Dawn (Europe),Uplay,45,17.78,60,15 febrero 2019,75 /100,GAME,10 abril 2019
63,Dark Souls 3 Deluxe Edition,Steam,85,17.62,79,12 abril 2016,92 /100,GAME,10 abril 2019
64,Tarjeta regalo Xbox Live 10€ (zona euro),Xbox,10,9.79,2,N/A,95 /100,GAME,10 abril 2019
65,Call of Duty: Black Ops (Europe),Steam,40,6.27,84, 9 noviembre 2010,88 /100,GAME,10 abril 2019
66,Call of Duty: Black Ops 4 (Europe),Battle.net,60,28.02,53,12 octubre 2018,67 /100,GAME,10 abril 2019
67,Call of Duty: Modern Warfare 2 (Europe),Steam,20,5.74,71,10 noviembre 2009,89 /100,GAME,10 abril 2019
68,Borderlands: The Pre-Sequel (Europe),Steam,40,7.49,81,16 octubre 2014,85 /100,GAME,10 abril 2019
69,PlayStation Plus - Suscripción 365 días (España) (ES),Playstation,60,46.99,22,N/A,98 /100,GAME,10 abril 2019
70,Titanfall 2,Origin,60,9.67,84,28 octubre 2016,88 /100,GAME,10 abril 2019
71,Doom,Steam,20,6.99,65,13 mayo 2016,91 /100,GAME,10 abril 2019
72,Civilization VI: Rise and Fall (Europe),Steam,30,12.01,60, 8 febrero 2018,90 /100,DLC,10 abril 2019
73,Stardew Valley,Steam,14,11.66,17,26 febrero 2016,94 /100,GAME,10 abril 2019
74,Battlefield 1 Revolution Xbox ONE,Xbox,40,2.99,93,22 agosto 2017,84 /100,GAME,10 abril 2019
75,Watch Dogs 2 (Europe),Uplay,60,9.87,84,29 noviembre 2016,80 /100,GAME,10 abril 2019
76,Xbox Live Gold 12 Month Membership (Europe),Xbox,60,37.99,37,N/A,100 /100,GAME,10 abril 2019
77,HearthStone: Heroes of WarCraft 5x Booster Pack,Battle.net,7,1.01,85,12 marzo 2014,87 /100,DLC,10 abril 2019
78,Arma 3 (Europe),Steam,35,18.89,46,12 septiembre 2013,87 /100,GAME,10 abril 2019
79,F1 2019 Anniversary Edition,Steam,55,30.49,45,28 junio 2019,? /100,GAME,10 abril 2019
80,The Sims 4: Urbanitas,Origin,40,16.49,59, 3 noviembre 2016,90 /100,DLC,10 abril 2019
81,For the King,Steam,20,2.40,88,28 febrero 2017,87 /100,GAME,10 abril 2019
82,The Witcher 3: Wild Hunt GOTY,GOG.com,50,14.98,70,30 agosto 2016,95 /100,GAME,10 abril 2019
83,Civilization VI Deluxe Edition (Europe),Steam,80,14.09,82,21 octubre 2016,86 /100,GAME,10 abril 2019
84,Fortnite Deep Freeze Bundle PS4 (Europe),Playstation,30,14.99,50,16 noviembre 2018,87 /100,GAME,10 abril 2019
85,Office Hogar y Estudiante 2016,Software,149,14.49,90,22 septiembre 2015,84 /100,GAME,10 abril 2019
86,Far Cry 5 (Europe),Uplay,60,19.98,67,27 marzo 2018,76 /100,GAME,10 abril 2019
87,Fallout 4 GOTY Edition,Steam,40,11.79,71,25 septiembre 2017,88 /100,GAME,10 abril 2019
88,Payday 2,Steam,10,4.69,53,13 agosto 2013,88 /100,GAME,10 abril 2019
89,Ghost Recon: Wildlands (Europe),Uplay,50,17.19,66, 7 marzo 2017,83 /100,GAME,10 abril 2019
90,Cities: Skylines,Steam,28,8.01,71,10 marzo 2015,88 /100,GAME,10 abril 2019
91,Fortnite Eon Cosmetic Set + 2000 V-Bucks Xbox ONE,Xbox,100,39.99,60,26 septiembre 2018,86 /100,GAME,10 abril 2019
92,Pro Evolution Soccer 2019 (Europe),Steam,30,8.35,72,30 agosto 2018,66 /100,GAME,10 abril 2019
93,Fortnite Deep Freeze Bundle PC,Epic Games,30,15.61,48, 6 diciembre 2018,87 /100,GAME,10 abril 2019
94,Tarjeta regalo Xbox Live 25€ (zona euro),Xbox,25,23.99,4,N/A,95 /100,GAME,10 abril 2019
95,Euro Truck Simulator 2: Going East,Steam,10,3.40,66,19 septiembre 2013,95 /100,DLC,10 abril 2019
96,Assassin's Creed Odyssey Gold Edition Xbox ONE,Xbox,100,38.78,61, 5 octubre 2018,86 /100,GAME,10 abril 2019
97,The Sims 4: Get Together,Origin,40,11.49,71,10 diciembre 2015,79 /100,DLC,10 abril 2019
98,The Escapists 2,Steam,20,7.33,63,21 agosto 2017,93 /100,GAME,10 abril 2019
99,TrackMania² Stadium,Steam,10,4.70,53,27 febrero 2013,88 /100,GAME,10 abril 2019
100,NBA 2K19 (Europe),Steam,50,16.52,67,10 septiembre 2018,70 /100,GAME,10 abril 2019
101,Assetto Corsa,Steam,20,8.42,58,19 diciembre 2014,85 /100,GAME,10 abril 2019
102,Tropico 5 Complete Collection,Steam,40,6.40,84,N/A,84 /100,GAME,10 abril 2019
103,Los Sims 3,Official Website,32,3.92,88, 4 junio 2009,84 /100,GAME,10 abril 2019
104,Borderlands: The Handsome Collection,Steam,31,14.99,52,27 marzo 2015,100 /100,GAME,10 abril 2019
105,Assetto Corsa Competizione,Steam,45,21.49,52,12 septiembre 2018,75 /100,GAME,10 abril 2019
106,Battlefield 5 Deluxe Edition Xbox ONE,Xbox,90,24.99,72,18 noviembre 2018,76 /100,GAME,10 abril 2019
107,Civilization V: Complete Edition,Steam,45,7.38,84,23 septiembre 2010,89 /100,GAME,10 abril 2019
108,Tarjeta regalo Xbox Live 50€ (zona euro),Xbox,50,47.49,5,N/A,95 /100,GAME,10 abril 2019
109,The Elder Scrolls Online: Summerset,Official Website,20,9.69,52,21 mayo 2018,67 /100,DLC,10 abril 2019
110,Call of Duty: World War II (Europe),Steam,60,14.98,75, 3 noviembre 2017,68 /100,GAME,10 abril 2019
111,Guild Wars 2: Path of Fire,Ncsoft,30,16.49,45,22 septiembre 2017,91 /100,GAME,10 abril 2019
112,The Elder Scrolls V: Skyrim Legendary Edition (Europe),Steam,45,8.19,82, 7 junio 2013,94 /100,GAME,10 abril 2019
113,Dying Light: The Following - Enhanced Edition (Europe),Steam,30,14.09,53, 9 febrero 2016,90 /100,GAME,10 abril 2019
114,Worms: Weapons of Mass Destruction,Steam,30,6.35,79,23 agosto 2016,93 /100,GAME,10 abril 2019
115,No Man's Sky,Steam,55,29.90,46,12 agosto 2016,71 /100,GAME,10 abril 2019
116,ARK: Survival Evolved Season Pass,Steam,40,18.78,53,29 agosto 2017,95 /100,DLC,10 abril 2019
117,Tarjeta Nintendo eShop 25€ (Europe),Nintendo,25,23.99,4,N/A,98 /100,GAME,10 abril 2019
118,Cities: Skylines Platinum Edition,Steam,60,15.29,75,24 mayo 2018,88 /100,GAME,10 abril 2019
119,Forza Motorsport 7 (PC / Xbox ONE),Xbox Play Anywhere,50,25.99,48, 3 octubre 2017,68 /100,GAME,10 abril 2019
120,Devil May Cry 5 (Europe),Steam,60,35.89,40, 8 marzo 2019,90 /100,GAME,10 abril 2019
121,Dragon Ball Xenoverse 2,Steam,50,10.98,78,28 octubre 2016,82 /100,GAME,10 abril 2019
122,Gears of War 4 (PC / Xbox One),Xbox Play Anywhere,40,4.99,88,11 octubre 2016,71 /100,GAME,10 abril 2019
123,Final Fantasy XIV: A Realm Reborn 60-day time card (Europe),Official Website,26,23.98,8,27 agosto 2013,94 /100,DLC,10 abril 2019
124,Euro Truck Simulator 2: Special Transport,Steam,5,3.99,20,13 diciembre 2017,? /100,DLC,10 abril 2019
125,Battlefield 1,Origin,60,9.49,84,21 octubre 2016,85 /100,GAME,10 abril 2019
126,Dark Souls 3,Steam,60,11.98,80,12 abril 2016,92 /100,GAME,10 abril 2019
127,Tarjeta PlayStation Network 50€ (España) (ES),Playstation,50,43.99,12,N/A,96 /100,GAME,10 abril 2019
128,Resident Evil 2 Biohazard RE:2 (Europe),Steam,60,29.49,51,25 enero 2019,93 /100,GAME,10 abril 2019
129,Total War: Warhammer,Steam,60,11.56,81,24 mayo 2016,84 /100,GAME,10 abril 2019
130,We. The Revolution,Steam,20,16.49,18,21 marzo 2019,75 /100,GAME,10 abril 2019
131,Stellaris,Steam,40,6.99,83, 9 mayo 2016,85 /100,GAME,10 abril 2019
132,Xbox Live Gold 3 Month Membership (Europe),Xbox,20,12.99,35,N/A,100 /100,GAME,10 abril 2019
133,Assassin's Creed: Unity Xbox ONE,Xbox,30,1.99,93,13 noviembre 2014,79 /100,GAME,10 abril 2019
134,Skyrim 3 Addon Pack: Dawnguard + Dragonborn + Hearthfire,Steam,45,5.73,87,2013,96 /100,DLC,10 abril 2019
135,EA Access Pass 1 Mes Xbox One,Xbox,4,2.99,25,N/A,96 /100,GAME,10 abril 2019
136,Space Engineers (Europe),Steam,17,8.80,48,23 octubre 2013,87 /100,GAME,10 abril 2019
137,Mount and Blade: Warband (Europe),Steam,20,1.83,91,31 marzo 2010,92 /100,GAME,10 abril 2019
138,The Elder Scrolls Online: Tamriel Unlimited 3000 Crown Pack,Official Website,21,17.69,16,N/A,73 /100,DLC,10 abril 2019
139,Battlefield 4: Premium Edition (juego incluido + all DLC) (Europe),Origin,70,13.23,81,24 octubre 2014,85 /100,GAME,10 abril 2019
140,World of Warcraft: Battle Chest (Europe),Battle.net,15,7.99,47, 2 octubre 2007,92 /100,GAME,10 abril 2019
141,Pc Building Simulator,Steam,20,12.23,39,N/A,85 /100,GAME,10 abril 2019
142,Middle-earth: Shadow of War Definitive Edition,Steam,50,11.08,78,28 agosto 2018,84 /100,GAME,10 abril 2019
143,Kingdom Come: Deliverance,Steam,40,20.69,48,13 febrero 2018,83 /100,GAME,10 abril 2019
144,Yoshi's Crafted World Switch (Europe),Nintendo,60,47.99,20,29 marzo 2019,80 /100,GAME,10 abril 2019
145,PlayStation Plus - 14 Days Trial Only New Accounts (Europe),Playstation,,3.99,/, 1 enero 2010,? /100,GAME,10 abril 2019
146,DiRT Rally 2.0,Steam,55,23.98,56,26 febrero 2019,79 /100,GAME,10 abril 2019
147,Dishonored 2,Steam,40,6.95,83,11 noviembre 2016,85 /100,GAME,10 abril 2019
148,Euro Truck Simulator 2: Heavy Cargo Pack,Steam,5,4.50,10,12 mayo 2017,89 /100,DLC,10 abril 2019
149,Tom Clancy's Rainbow Six Siege Year 4 Pass (Europe),Uplay,30,26.49,12, 5 marzo 2019,87 /100,DLC,10 abril 2019
150,Frostpunk (Europe),Steam,30,13.98,53,24 abril 2018,87 /100,GAME,10 abril 2019
151,Northgard,Steam,28,9.08,68,22 febrero 2017,88 /100,GAME,10 abril 2019
152,Car Mechanic Simulator 2018,Steam,20,8.06,60,28 julio 2017,76 /100,GAME,10 abril 2019
153,Command & Conquer: The Ultimate Collection,Origin,30,5.71,81, 4 octubre 2012,86 /100,GAME,10 abril 2019
154,Crusader Kings II,Steam,40,3.08,92,14 febrero 2012,91 /100,GAME,10 abril 2019
155,Battlefield 4 (Europe),Origin,20,6.37,68,31 octubre 2013,85 /100,GAME,10 abril 2019
156,Project Cars 2,Steam,60,12.21,80,22 septiembre 2017,78 /100,GAME,10 abril 2019
157,Grand Theft Auto Online: Great White Shark Cash Card,Rockstar,15,10.28,31,14 abril 2015,88 /100,DLC,10 abril 2019
158,Killing Floor 2,Steam,28,3.74,87,21 abril 2015,88 /100,GAME,10 abril 2019
159,Hitman 2 Silver Edition,Steam,80,17.96,78,13 noviembre 2018,85 /100,GAME,10 abril 2019
160,Battlefield 1 Revolution Edition ,Origin,60,11.49,81,22 agosto 2017,85 /100,GAME,10 abril 2019
161,The Division 2 Ultimate Edition (Europe),Uplay,120,89.98,25,12 marzo 2019,80 /100,GAME,10 abril 2019
162,The Legend of Zelda: Breath of the Wild Switch (Europe),Nintendo,70,54.99,21, 3 marzo 2017,94 /100,GAME,10 abril 2019
163,Dead Cells,Steam,25,14.77,41,10 mayo 2017,91 /100,GAME,10 abril 2019
164,Dark Souls 2: Scholar of the First Sin,Steam,40,7.99,80, 2 abril 2015,87 /100,GAME,10 abril 2019
165,Mutant Year Zero: Road to Eden,Steam,35,9.13,74, 4 diciembre 2018,? /100,GAME,10 abril 2019
166,The Sims 4: Laundry Day Stuff,Origin,10,9.00,10,N/A,73 /100,DLC,10 abril 2019
167,Worms Revolution,Steam,15,1.38,91,10 octubre 2012,87 /100,GAME,10 abril 2019
168,Age of Empires: Definitive Edition,Official Website,20,8.85,56,20 febrero 2018,62 /100,GAME,10 abril 2019
169,Red Dead Redemption 2 Xbox ONE,Xbox,70,39.99,43,26 octubre 2018,93 /100,GAME,10 abril 2019
170,Los Sims 4: ¡A Trabajar!,Origin,40,15.37,62, 2 abril 2015,87 /100,DLC,10 abril 2019
171,Cities: Skylines - Mass Transit,Steam,13,7.42,43,18 mayo 2017,92 /100,DLC,10 abril 2019
172,Grand Theft Auto Online: Tiger Shark Cash Card,Rockstar,4,2.21,45,14 abril 2015,87 /100,DLC,10 abril 2019
173,Kerbal Space Program,Steam,40,8.73,78,27 abril 2015,94 /100,GAME,10 abril 2019
174,Tarjeta PlayStation Network 20€ (España) (ES),Playstation,20,17.99,10,N/A,96 /100,DLC,10 abril 2019
175,For Honor (Europe),Uplay,30,9.93,67,14 febrero 2017,78 /100,GAME,10 abril 2019
176,Tarjeta regalo Xbox Live 15€ (zona euro),Xbox,15,14.50,3,N/A,95 /100,GAME,10 abril 2019
177,Fallout 76 (Europe),Official Website,60,17.49,71,14 noviembre 2018,54 /100,GAME,10 abril 2019
178,Batman: Arkham Origins ,Steam,20,2.04,90,25 octubre 2013,87 /100,GAME,10 abril 2019
179,Killing Floor 2 Digital Deluxe Edition,Steam,37,4.91,87,18 noviembre 2016,88 /100,GAME,10 abril 2019
180,Need for Speed: Payback,Origin,60,11.68,81,10 noviembre 2017,77 /100,GAME,10 abril 2019
181,Assassin's Creed IV: Black Flag (Europe),Uplay,20,5.14,74,29 octubre 2013,86 /100,GAME,10 abril 2019
182,Tarjeta PlayStation Network 10€ (España) (ES),Playstation,10,9.19,8,N/A,96 /100,GAME,10 abril 2019
183,Shadow of the Tomb Raider,Steam,60,21.54,64,14 septiembre 2018,90 /100,GAME,10 abril 2019
184,Grand Theft Auto Online: Whale Shark Cash Card,Rockstar,38,22.97,40,14 abril 2015,87 /100,DLC,10 abril 2019
185,Nioh: Complete Edition (Europe),Steam,50,18.39,63, 7 noviembre 2017,76 /100,GAME,10 abril 2019
186,Insurgency: Sandstorm,Steam,30,22.04,27,12 diciembre 2018,78 /100,GAME,10 abril 2019
187,Generation Zero,Steam,35,29.85,15,26 marzo 2019,54 /100,GAME,10 abril 2019
188,DiRT 3 Complete Edition,Steam,20,1.01,95,24 mayo 2011,89 /100,GAME,10 abril 2019
189,Tarjeta Nintendo eShop 15€ (Europe),Nintendo,15,14.39,4,N/A,100 /100,GAME,10 abril 2019
190,The Elder Scrolls V: Skyrim (Europe),Steam,15,5.06,66,11 noviembre 2011,94 /100,GAME,10 abril 2019
191,Wolfenstein: The New Order,Steam,20,3.85,81,19 mayo 2014,90 /100,GAME,10 abril 2019
192,Grand Theft Auto Online: Megalodon Shark Cash Card,Rockstar,75,44.98,40,14 abril 2015,87 /100,DLC,10 abril 2019
193,Euro Truck Simulator 2 Gold Edition,Steam,16,6.04,62,19 octubre 2012,91 /100,GAME,10 abril 2019
194,Subscripción Xbox Live Gold 6 Meses,Xbox,40,23.99,40,N/A,97 /100,GAME,10 abril 2019
195,The Legend of Zelda: Breath of the Wild Expansion Pass Switch (Europe),Nintendo,20,16.99,15, 3 marzo 2017,98 /100,DLC,10 abril 2019
196,Batman: Arkham Knight,Steam,20,4.09,80,23 junio 2015,84 /100,GAME,10 abril 2019
197,Euro Truck Simulator 2 Cargo Collection,Steam,10,6.45,35, 9 febrero 2018,93 /100,DLC,10 abril 2019
198,Motorsport Manager,Steam,35,7.49,79,10 noviembre 2016,86 /100,GAME,10 abril 2019
199,Dying Light,Steam,30,10.33,66,27 enero 2015,90 /100,GAME,10 abril 2019
200,Two Point Hospital (Europe),Steam,35,22.70,35,30 agosto 2018,87 /100,GAME,10 abril 2019
201,Final Fantasy XV Windows Edition,Steam,50,18.99,62, 6 marzo 2018,84 /100,GAME,10 abril 2019
202,Metal Gear Solid V: The Definitive Experience,Steam,30,5.74,81,13 octubre 2016,90 /100,GAME,10 abril 2019
203,Guild Wars 2: Heart of Thorns,Ncsoft,30,15.49,48, 5 julio 2015,88 /100,GAME,10 abril 2019
204,Mortal Kombat XL,Steam,20,10.01,50,13 abril 2015,85 /100,GAME,10 abril 2019
205,Spintires,Steam,10,2.62,74,12 junio 2014,83 /100,GAME,10 abril 2019
206,Overcooked! 2,Steam,23,13.22,42, 7 agosto 2018,89 /100,GAME,10 abril 2019
207,Warhammer: Vermintide 2,Steam,28,10.49,63, 8 marzo 2018,87 /100,GAME,10 abril 2019
208,NieR: Automata,Steam,40,18.81,53,17 marzo 2017,91 /100,GAME,10 abril 2019
209,Total War: Warhammer II - Rise Of The Tomb King (Europe),Steam,17,12.97,26,23 enero 2018,? /100,DLC,10 abril 2019
210,Terraria,Steam,10,6.30,37,16 mayo 2011,90 /100,GAME,10 abril 2019
211,Outlast,STEAM,17,2.36,86, 4 septiembre 2013,94 /100,GAME,10 abril 2019
212,Super Smash Bros. Ultimate Switch (Europe),Nintendo,70,54.99,21, 7 diciembre 2018,91 /100,GAME,10 abril 2019
213,Dead Island Definitive Edition,Steam,20,8.47,58,31 mayo 2016,82 /100,GAME,10 abril 2019
214,Rising Storm 2: Vietnam,Steam,23,3.29,86,30 mayo 2017,81 /100,GAME,10 abril 2019
215,Dragon Ball FighterZ,Steam,60,15.90,73,26 enero 2018,87 /100,GAME,10 abril 2019
216,Borderlands GOTY Edition,Steam,20,16.93,15, 8 octubre 2010,89 /100,GAME,10 abril 2019
217,Hunt Showdown,Steam,30,19.98,33,22 febrero 2018,86 /100,GAME,10 abril 2019
218,Assassin's Creed: Unity,Uplay,30,9.45,68,13 noviembre 2014,79 /100,GAME,10 abril 2019
219,Hearts of Iron IV: Cadet Edition (Europe),Steam,40,11.27,72, 6 junio 2016,89 /100,GAME,10 abril 2019
220,Assassin's Creed: Origins (Europe),Uplay,60,19.79,67,27 octubre 2017,87 /100,GAME,10 abril 2019
221,NBA 2K19: 200.000 VC Xbox ONE,Xbox,50,34.99,30,11 septiembre 2018,? /100,DLC,10 abril 2019
222,Bioshock: The Collection (Europe),Steam,60,9.99,83,13 septiembre 2016,98 /100,GAME,10 abril 2019
223,Forza Horizon 4 Fortune Island (PC / Xbox ONE),Xbox Play Anywhere,20,17.99,10,13 diciembre 2018,? /100,DLC,10 abril 2019
224,My Time At Portia,Steam,30,17.49,42,15 enero 2019,94 /100,GAME,10 abril 2019
225,Total War: Shogun 2 Collection,Steam,45,7.35,84,2012,84 /100,GAME,10 abril 2019
226,New Super Mario Bros. U Deluxe Switch (Europe),Nintendo,60,47.99,20,11 enero 2019,90 /100,GAME,10 abril 2019
227,Ride 3,Steam,50,23.72,53,30 noviembre 2018,86 /100,GAME,10 abril 2019
228,Mad Max,Steam,20,3.33,83, 1 septiembre 2015,85 /100,GAME,10 abril 2019
229,The Elder Scrolls IV: Oblivion GOTY Deluxe Edition,Steam,20,5.99,70,16 junio 2009,90 /100,GAME,10 abril 2019
230,Total War: Warhammer II Curse Of The Vampire Coast (Europe),Steam,17,12.97,26, 8 noviembre 2018,90 /100,DLC,10 abril 2019
231,Los Sims 3 : ¡Vaya Fauna! (Europe),Official Website,40,3.82,90,20 octubre 2011,80 /100,DLC,10 abril 2019
232,Call of Duty: Ghosts (Europe),Steam,60,4.34,93,25 marzo 2014,71 /100,GAME,10 abril 2019
233,Grand Theft Auto Online: Great White Shark Cash Card PS4 (Europe),Playstation,15,10.99,27,14 abril 2015,90 /100,DLC,10 abril 2019
234,Insurgency,Steam,10,1.19,88,22 enero 2014,85 /100,GAME,10 abril 2019
235,Hearts of Iron: Man The Guns,Steam,20,11.65,42,28 febrero 2019,100 /100,DLC,10 abril 2019
236,Mortal Kombat 11,Steam,60,43.59,27,23 abril 2019,? /100,GAME,10 abril 2019
237,Dark Souls 3: Season Pass,Steam,25,10.33,59,12 abril 2016,94 /100,DLC,10 abril 2019
238,Wolfenstein II: The New Colossus,Steam,60,12.02,80,27 octubre 2017,85 /100,GAME,10 abril 2019
239,Sniper Elite v2,Steam,20,4.91,75, 4 mayo 2012,73 /100,GAME,10 abril 2019
240,Need for Speed,Origin,40,8.60,78,17 marzo 2016,70 /100,GAME,10 abril 2019
241,Assassin's Creed: Syndicate (Europe),Uplay,40,7.98,80,19 noviembre 2015,80 /100,GAME,10 abril 2019
242,Stellaris: MegaCorp,Steam,20,11.71,41, 6 diciembre 2018,93 /100,DLC,10 abril 2019
243,The Sims 4: Bundle Pack 3,Origin,40,18.06,55, 7 junio 2016,92 /100,DLC,10 abril 2019
