,name,platform,original_price(€),discounted_price(€),discount(%),release_date,users_rating,category,extraction_date
0,Grand Theft Auto V,Rockstar,30,12.19,59,14 abril 2015,88 /100,GAME,10 abril 2019
1,Borderlands 2 (Game of the Year Edition) (Europe),Steam,45,7.95,82,12 octubre 2010,92 /100,GAME,10 abril 2019
2,The Division 2 (Europe),Uplay,60,43.79,27,15 marzo 2019,81 /100,GAME,10 abril 2019
3,Sekiro: Shadows Die Twice (Europe),Steam,60,47.49,21,22 marzo 2019,89 /100,GAME,10 abril 2019
4,Battlefield 5,Origin,60,28.59,52,20 noviembre 2018,76 /100,GAME,10 abril 2019
5,Guild Wars 2: 2000 Gems,Ncsoft,25,16.81,33,28 agosto 2012,91 /100,DLC,10 abril 2019
6,Suscripción Xbox Live Gold 12 Meses,Xbox,60,38.99,35,N/A,96 /100,GAME,10 abril 2019
7,World of Warcraft: Tarjeta 60 Días (Europe),Battle.net,30,21.29,29,29 noviembre 2004,94 /100,DLC,10 abril 2019
8,Super Dragon Ball Heroes World Mission,Steam,50,35.98,28, 5 abril 2019,97 /100,GAME,10 abril 2019
9,Rocket League,Steam,20,7.98,60, 7 julio 2015,92 /100,GAME,10 abril 2019
10,Forza Horizon 4 (PC / Xbox ONE),Xbox Play Anywhere,70,35.99,49, 2 octubre 2018,89 /100,GAME,10 abril 2019
11,Grand Theft Auto V: Premium Online Edition,Rockstar,35,15.69,55,14 abril 2015,88 /100,GAME,10 abril 2019
12,Ark: Survival Evolved,Steam,55,13.96,75,29 agosto 2017,79 /100,GAME,10 abril 2019
13,Outward,Steam,40,31.13,22,26 marzo 2019,80 /100,GAME,10 abril 2019
14,Sea of Thieves (PC / Xbox ONE),Xbox Play Anywhere,70,39.89,43,20 marzo 2018,81 /100,GAME,10 abril 2019
15,Football Manager 2019 (Europe),Steam,55,19.21,65, 2 noviembre 2018,87 /100,GAME,10 abril 2019
16,Call of Duty: Black Ops II,Steam,60,6.57,89,13 noviembre 2012,87 /100,GAME,10 abril 2019
17,Tropico 6 (Europe),Steam,50,33.94,32,29 marzo 2019,87 /100,GAME,10 abril 2019
18,Los Sims 4 (Europe),Origin,40,11.99,70, 4 septiembre 2014,82 /100,GAME,10 abril 2019
19,Human: Fall Flat,Steam,15,3.29,78,22 julio 2016,86 /100,GAME,10 abril 2019
20,Euro Truck Simulator 2,Steam,20,4.98,75,19 octubre 2012,91 /100,GAME,10 abril 2019
21,FIFA 19,Origin,60,24.34,59,28 septiembre 2018,64 /100,GAME,10 abril 2019
22,Tom Clancy's Rainbow Six Siege (Europe),Uplay,40,11.79,71, 1 diciembre 2015,86 /100,GAME,10 abril 2019
23,Suscripción Xbox Live Gold 1 Mes,Xbox,7,6.73,4,N/A,96 /100,GAME,10 abril 2019
24,Suscripción Xbox Live Gold 3 Meses,Xbox,20,13.99,30,N/A,96 /100,GAME,10 abril 2019
25,Xbox Live Gold 14 Days Membership (Only New Accounts),Xbox,4,1.99,50,N/A,96 /100,GAME,10 abril 2019
26,World of Warcraft: Battle for Azeroth (Europe),Battle.net,45,26.08,42,14 agosto 2018,86 /100,DLC,10 abril 2019
27,Call of Duty: Black Ops III + Nuketown,Steam,60,8.99,85, 5 noviembre 2015,79 /100,GAME,10 abril 2019
28,Dead by Daylight,Steam,20,8.11,59,14 junio 2016,82 /100,GAME,10 abril 2019
29,FIFA 19: 2200 FUT Points,Origin,20,14.54,27,28 septiembre 2018,62 /100,DLC,10 abril 2019
30,Metro: Exodus (Europe),Epic Games,60,38.98,35,15 febrero 2019,79 /100,GAME,10 abril 2019
31,F1 2018,Steam,55,14.65,73,24 agosto 2018,90 /100,GAME,10 abril 2019
32,Tropico 6 El Prez Edition (Europe),Steam,55,36.49,34,29 marzo 2019,87 /100,GAME,10 abril 2019
33,Euro Truck Simulator 2: Beyond the Baltic Sea,Steam,18,8.51,53,29 noviembre 2018,97 /100,DLC,10 abril 2019
34,Monster Hunter: World (Europe),Steam,60,29.53,51, 9 agosto 2018,87 /100,GAME,10 abril 2019
35,Farming Simulator 19,Steam,35,26.33,25,20 noviembre 2018,87 /100,GAME,10 abril 2019
36,The Elder Scrolls V: Skyrim Special Edition,Steam,40,12.92,68,28 octubre 2016,94 /100,GAME,10 abril 2019
37,Playerunknown's Battlegrounds,Steam,30,20.45,32,21 diciembre 2017,83 /100,GAME,10 abril 2019
38,Los Sims 4: ¡Rumbo a la Fama! ,Origin,40,15.90,60,16 noviembre 2018,91 /100,DLC,10 abril 2019
39,Risk of Rain 2 (+ Early Access),Steam,18,14.84,18,28 marzo 2019,? /100,GAME,10 abril 2019
40,Minecraft,Official Website,24,20.82,13,19 noviembre 2011,89 /100,GAME,10 abril 2019
41,Conan Exiles,Steam,40,14.09,65, 8 mayo 2018,75 /100,GAME,10 abril 2019
42,Anno 1800 (Europe),Uplay,60,44.69,26,16 abril 2019,? /100,GAME,10 abril 2019
43,Los Sims 4: Y Las Cuatro Estaciones,Origin,40,15.90,60,22 junio 2018,92 /100,DLC,10 abril 2019
44,Los Sims 4: Perros y Gatos,Origin,40,15.49,61,10 noviembre 2017,91 /100,DLC,10 abril 2019
45,Assassin's Creed Odyssey (Europe),Uplay,60,26.49,56, 5 octubre 2018,86 /100,GAME,10 abril 2019
46,Grid 2,Steam,25,1.01,96,31 mayo 2013,80 /100,GAME,10 abril 2019
47,The Division 2 Xbox ONE,Xbox,70,49.99,29,15 marzo 2019,81 /100,GAME,10 abril 2019
48,Sid Meier's Civilization VI: Gathering Storm (Europe),Steam,40,27.53,31,14 febrero 2019,94 /100,DLC,10 abril 2019
49,Total War: Warhammer II (Europe),Steam,60,14.09,77,28 septiembre 2017,88 /100,GAME,10 abril 2019
50,Euro Truck Simulator 2: Vive la France,Steam,18,4.19,77, 5 diciembre 2016,93 /100,DLC,10 abril 2019
51,Call of Duty: Modern Warfare 3 (Europe),Steam,40,5.75,86, 8 noviembre 2011,85 /100,GAME,10 abril 2019
52,Final Fantasy XIV Online Complete Edition (Europe),Official Website,40,18.40,54,20 junio 2017,90 /100,GAME,10 abril 2019
53,FIFA 19 Xbox ONE,Xbox,70,25.99,63,28 septiembre 2018,64 /100,GAME,10 abril 2019
