,name,platform,original_price(€),discounted_price(€),discount(%),release_date,users_rating,category,extraction_date
0,Grand Theft Auto V,Rockstar,30,12.19,59,14 abril 2015,88 /100,GAME,05 abril 2019
1,The Division 2 (Europe),Uplay,60,43.79,27,15 marzo 2019,81 /100,GAME,05 abril 2019
2,Borderlands 2 (Game of the Year Edition) (Europe),Steam,45,5.90,87,12 octubre 2010,92 /100,GAME,05 abril 2019
3,Sekiro: Shadows Die Twice (Europe),Steam,60,49.98,17,22 marzo 2019,88 /100,GAME,05 abril 2019
4,Tropico 6 (Europe),Steam,50,31.98,36,29 marzo 2019,85 /100,GAME,05 abril 2019
5,Guild Wars 2: 2000 Gems,Ncsoft,25,16.81,33,28 agosto 2012,91 /100,DLC,05 abril 2019
6,Suscripción Xbox Live Gold 12 Meses,Xbox,60,38.99,35,N/A,96 /100,GAME,05 abril 2019
7,Grand Theft Auto V: Premium Online Edition,Rockstar,35,15.69,55,14 abril 2015,88 /100,GAME,05 abril 2019
8,World of Warcraft: Tarjeta 60 Días (Europe),Battle.net,30,21.74,28,29 noviembre 2004,94 /100,DLC,05 abril 2019
9,Outward,Steam,40,33.49,16,26 marzo 2019,80 /100,GAME,05 abril 2019
10,Battlefield 5,Origin,60,29.00,52,20 noviembre 2018,76 /100,GAME,05 abril 2019
11,Sea of Thieves (PC / Xbox ONE),Xbox Play Anywhere,70,39.89,43,20 marzo 2018,80 /100,GAME,05 abril 2019
12,Forza Horizon 4 (PC / Xbox ONE),Xbox Play Anywhere,70,35.99,49, 2 octubre 2018,89 /100,GAME,05 abril 2019
13,Tropico 6 El Prez Edition (Europe),Steam,55,36.49,34,29 marzo 2019,85 /100,GAME,05 abril 2019
14,Rocket League,Steam,20,7.98,60, 7 julio 2015,92 /100,GAME,05 abril 2019
15,FIFA 19: 2200 FUT Points,Origin,20,14.63,27,28 septiembre 2018,62 /100,DLC,05 abril 2019
16,Ark: Survival Evolved,Steam,55,14.36,74,29 agosto 2017,78 /100,GAME,05 abril 2019
17,Football Manager 2019 (Europe),Steam,55,18.89,66, 2 noviembre 2018,86 /100,GAME,05 abril 2019
18,Tom Clancy's Rainbow Six Siege (Europe),Uplay,40,12.98,68, 1 diciembre 2015,86 /100,GAME,05 abril 2019
19,Call of Duty: Black Ops II,Steam,60,6.72,89,13 noviembre 2012,87 /100,GAME,05 abril 2019
20,Los Sims 4 (Europe),Origin,40,11.99,70, 4 septiembre 2014,82 /100,GAME,05 abril 2019
21,Euro Truck Simulator 2,Steam,20,4.98,75,19 octubre 2012,91 /100,GAME,05 abril 2019
22,Metro: Exodus (Europe),Epic Games,60,36.98,38,15 febrero 2019,79 /100,GAME,05 abril 2019
23,FIFA 19,Origin,60,24.98,58,28 septiembre 2018,64 /100,GAME,05 abril 2019
24,Call of Duty: Black Ops III + Nuketown,Steam,60,8.99,85, 5 noviembre 2015,79 /100,GAME,05 abril 2019
25,Human: Fall Flat,Steam,15,3.29,78,22 julio 2016,86 /100,GAME,05 abril 2019
26,Suscripción Xbox Live Gold 3 Meses,Xbox,20,13.99,30,N/A,96 /100,GAME,05 abril 2019
27,Suscripción Xbox Live Gold 1 Mes,Xbox,7,6.73,4,N/A,96 /100,GAME,05 abril 2019
28,F1 2018,Steam,55,12.59,77,24 agosto 2018,90 /100,GAME,05 abril 2019
